Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
402,13891063,0,0,-10399381,-5554288,0,2062606,0
403,5604880,301828,228758,-16949413,-609331,0,11423278,0
404,3335430,9247897,10678873,-25430918,-354063,0,2522781,0
405,0,10746482,12271010,-24985382,-1621706,0,3589595,0
406,0,7109048,13429849,-21466796,-1775359,0,2703257,0
407,1624499,3510635,11314512,-16839351,-1009764,0,1399468,0
408,692616,3361574,2146680,-11512479,-738678,0,6050287,0
409,2270285,1945156,733268,-7731952,-435058,0,3218301,0
410,30781119,0,0,-2454086,-7307933,0,-21019101,0
411,33611281,0,0,-403959,-19785223,0,-13422098,0
412,6618307,0,0,-705428,-5690136,0,-222742,0
413,35781727,0,0,-893803,-33395683,0,-1492241,0
414,14744926,0,0,-11077830,-5722136,0,2055041,0
415,7855219,184502,142235,-18295513,-1893336,0,12006895,0
416,974554,8325924,9545768,-24434696,-52128,0,5640579,0
417,0,10649382,12252181,-24708575,-953730,0,2760743,0
418,862350,7797531,12403667,-21855710,-1877921,0,2670084,0
419,3068322,3968838,11442003,-18213554,-1530807,0,1265197,0
420,4100609,3666754,1736927,-12030563,-1309052,0,3835325,0
