Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
231,7281414,0,0,-735970,-1229221,0,-5316223,0
232,25942097,0,0,-770035,-8293928,0,-16878134,0
233,17659970,0,0,-1352993,-11253515,0,-5053462,0
234,9075931,0,0,-10861499,-1776436,0,3562004,0
235,15729640,14218,21950,-14274482,-2164968,0,673642,0
236,4222122,3209170,3769182,-19788913,-195617,0,8784057,0
237,2422703,8724857,9970356,-24108597,-254921,0,3245603,0
238,1426371,9872587,12524249,-25946675,-2356242,0,4479711,0
239,0,1134111,14151470,-17679159,-1029081,0,3422659,0
240,4380400,229268,3318076,-12773528,-1249718,0,6095502,0
241,30436565,1704648,526485,-8707412,-6448660,0,-17511626,0
242,8512003,0,0,-2651855,-1869653,0,-3990495,0
243,29362397,0,0,-770511,-18754360,0,-9837525,0
244,5626776,0,0,-936590,-4474161,0,-216025,0
245,11230782,0,0,-1076545,-9329522,0,-824715,0
246,26458534,0,0,-8467095,-17895226,0,-96213,0
247,3121613,34658,45735,-12918875,-156252,0,9873121,0
248,10159962,3347128,3755272,-18443338,-721498,0,1902474,0
249,7058115,7445886,8514002,-23814837,-884890,0,1681724,0
250,2026901,8399534,8889136,-21149882,-2114312,0,3948621,0
251,953280,4725479,10058270,-18148910,-1488716,0,3900598,0
252,275050,845473,3947042,-15153717,-849402,0,10935553,0
253,6515048,922979,285619,-8656796,-1180552,0,2113702,0
254,5373219,0,0,-2385588,-409340,0,-2578291,0
255,4368965,0,0,-779542,-361961,0,-3227461,0
256,22015796,0,0,-879804,-6058911,0,-15077080,0
257,7643243,0,0,-1513126,-2577400,0,-3552717,0
258,26207182,0,0,-9187188,-9399192,0,-7620803,0
259,9420633,2134,8762,-15077799,-2260752,0,7907022,0
260,1566152,5494687,6312451,-23133252,-75259,0,9835222,0
261,3236704,7906861,9257145,-21861347,-369243,0,1829879,0
262,473234,2597945,13133004,-19738154,-878058,0,4412029,0
263,0,21527,13732094,-14225846,-718076,0,1190301,0
264,0,0,3499843,-9893847,-621292,0,7015297,0
265,4104420,167168,1095174,-6221562,-537851,0,1392651,0
266,21749833,0,0,-2934147,-4003471,0,-14812215,0
267,42165816,0,0,-1202618,-21129962,0,-19833236,0
268,10321008,0,0,-1043898,-8424995,0,-852115,0
269,2543407,0,0,-1350280,-1764180,0,571054,0
270,7929942,0,532,-11657079,-1061584,0,4788188,0
271,4537551,903684,876625,-16366428,-508214,0,10556782,0
272,10391819,7270989,8412563,-22635895,-1027008,0,-2412467,0
273,1142727,2001727,13962511,-24267457,-798506,0,7958999,0
274,8806442,92683,14520856,-20882976,-2549546,0,12542,0
275,2466918,0,11433386,-14163149,-1110278,0,1373123,0
276,9038497,296492,2558113,-10474305,-2343189,0,924392,0
277,830657,453828,955272,-9333634,-241060,0,7334936,0
278,2605596,0,0,-2430076,-206112,0,30593,0
279,3357496,0,0,-867659,-261924,0,-2227913,0
280,9409530,0,0,-1097997,-1237121,0,-7074412,0
281,20517177,0,0,-1240626,-6421116,0,-12855436,0
282,20019887,0,113,-11569506,-6749056,0,-1701438,0
283,1301075,1475675,1712620,-16002416,-77108,0,11590154,0
284,3609679,1118840,11548802,-21722153,-267861,0,5712693,0
285,1754142,26623,15756405,-18288368,-588393,0,1339592,0
286,1155908,0,15451431,-15997613,-844232,0,234506,0
287,1551351,0,13119222,-13802157,-1062087,0,193671,0
288,11477967,168123,3278320,-11711705,-2997058,0,-215646,0
289,16264420,1275850,791782,-10271080,-3075801,0,-4985171,0
290,11988701,0,0,-3004862,-2713700,0,-6270139,0
291,25719979,0,0,-686635,-12754968,0,-12278376,0
292,6489672,0,0,-1217203,-4689623,0,-582846,0
293,43825341,0,0,-1650584,-40137551,0,-2037206,0
294,4859104,0,672,-12124361,-533256,0,7797840,0
295,2453973,2419172,2560034,-16037909,-227717,0,8832446,0
296,9461064,3145643,8789391,-22357103,-782013,0,1743018,0
297,2412604,568241,15342719,-22295623,-796112,0,4768171,0
298,3261284,0,13578562,-17017552,-990341,0,1168046,0
299,1597553,0,12027384,-13368355,-957282,0,700699,0
300,314326,0,3123623,-9010368,-629459,0,6201877,0
301,2661520,30484,1235115,-6600266,-412366,0,3085512,0
302,4558693,0,0,-2569330,-352375,0,-1636989,0
303,41828780,0,0,-519758,-13126953,0,-28182070,0
304,42330988,0,0,-628094,-36265415,0,-5437478,0
305,9149336,0,0,-1107450,-7897811,0,-144074,0
306,29768289,0,0,-10716576,-23169472,0,4117758,0
307,7533512,1752511,1825649,-19143811,-631370,0,8663508,0
308,6124661,7456049,8619150,-23078345,-654945,0,1533429,0
309,2190142,8779162,11322825,-25183890,-1938098,0,4829858,0
310,0,1897002,15189247,-21658915,-1097350,0,5670016,0
311,0,15363,14140744,-14322715,-1004183,0,1170790,0
312,0,8570,3265927,-9203071,-636846,0,6565421,0
313,40429130,1339402,415710,-6965667,-10333822,0,-24884754,0
314,11164614,0,0,-3234062,-4337937,0,-3592615,0
315,20064140,0,0,-392472,-16283211,0,-3388456,0
316,37395714,0,0,-452571,-36255903,0,-687241,0
317,37867896,0,0,-1127501,-36616321,0,-124074,0
318,11660911,0,0,-10142851,-2538849,0,1020789,0
319,11349354,1527,7582,-16173358,-1741753,0,6556649,0
