Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
179,0,2846691,4955850,-19394150,-1443203,0,13034812,0
180,0,1785391,2886516,-7864650,-719800,0,3912543,0
181,1364229,1290104,560955,-4973896,-288181,0,2046788,0
182,25522480,0,0,-2665325,-4748435,0,-18108721,0
183,64441128,0,0,-748122,-39644193,0,-24048812,0
184,33588155,0,0,-790321,-30498464,0,-2299370,0
185,10428971,0,0,-1298470,-9425917,0,295417,0
186,11863470,0,0,-7276437,-4291164,0,-295869,0
187,6441019,2442,12119,-14274484,-570973,0,8389878,0
188,3469312,4703382,5371521,-23045010,-163420,0,9664215,0
189,1106884,10231969,11749224,-26049380,-267937,0,3229240,0
190,0,8740719,8877854,-25528339,-2019986,0,9929752,0
191,2919419,4468515,3115553,-16555725,-1585140,0,7637378,0
192,0,3695886,2227758,-8298611,-896713,0,3271681,0
193,489010,1379537,519756,-4370828,-298544,0,2281069,0
194,19743731,0,0,-2613146,-3191383,0,-13939203,0
195,27559644,0,0,-732282,-10302097,0,-16525264,0
196,8608706,0,0,-695046,-4852686,0,-3060973,0
197,19840463,0,0,-1134120,-13189975,0,-5516367,0
198,1317238,19707,199488,-11900991,-65632,0,10430190,0
199,841260,3229354,4676504,-15516208,-33517,0,6802608,0
200,2972570,8435164,9821096,-23662308,-189823,0,2623300,0
201,270306,8225295,11896395,-21912423,-735172,0,2255599,0
202,1390857,3351054,9560367,-20890473,-1212664,0,7800859,0
203,254192,1568765,4581969,-13250136,-861998,0,7707209,0
204,277148,1200617,2844233,-4630084,-689231,0,997317,0
205,16379621,1039956,321547,-8986840,-2832550,0,-5921733,0
206,4312158,0,0,-3289704,-332903,0,-689550,0
207,15218881,0,0,-734027,-3459128,0,-11025725,0
208,28590677,0,0,-763120,-12335298,0,-15492259,0
209,31484755,0,0,-1458208,-22488811,0,-7537737,0
210,2675321,0,16661,-9596566,-186534,0,7091117,0
211,1972196,2533112,3039356,-14785799,-142979,0,7384115,0
212,5722405,7129875,8331712,-22378353,-410667,0,1605029,0
213,775659,9845404,11215568,-23731639,-1769780,0,3664788,0
214,0,7010200,8297335,-22129618,-1883870,0,8705954,0
215,0,2082766,4306300,-15130409,-1065175,0,9806518,0
216,0,1485818,3163048,-6113375,-735118,0,2199627,0
217,2609839,1459994,483271,-4590310,-385474,0,422680,0
218,10487240,0,0,-3332686,-1011122,0,-6143432,0
219,7545058,0,0,-734114,-1490990,0,-5319954,0
220,5740828,0,0,-945724,-1427353,0,-3367750,0
221,21909486,0,0,-1132233,-7432476,0,-13344777,0
222,8183859,118960,589549,-9588209,-2038904,0,2734745,0
223,1156192,3533690,5526962,-15887096,-100991,0,5771242,0
224,13803202,7416230,8652643,-24339294,-2664154,0,-2868627,0
225,10785656,7656662,8750480,-25294548,-3768862,0,1870611,0
226,0,3588387,10146375,-22901052,-1739977,0,10906267,0
227,1037759,1573442,4404390,-15107033,-1027338,0,9118779,0
228,202791,1268276,3466847,-5018676,-779458,0,860219,0
229,8602192,1280318,452285,-8813135,-1683565,0,161905,0
230,8556114,0,0,-3082760,-637211,0,-4836143,0
231,7281414,0,0,-735970,-1163032,0,-5382412,0
232,25942097,0,0,-770035,-7559390,0,-17612673,0
233,17659970,0,0,-1352993,-9101889,0,-7205088,0
234,9075931,29085,143576,-10861499,-1498907,0,3111814,0
235,15729640,1959154,2633649,-14274518,-2277807,0,-3770119,0
236,4222122,5752282,6735368,-19789004,-1684722,0,4763954,0
237,2422703,8724857,9970356,-24108597,-2571976,0,5562658,0
238,1426371,10090361,7638344,-25946680,-2985921,0,9777526,0
239,0,3966312,3591271,-17805997,-1524638,0,11773052,0
240,4380400,2763124,2403497,-9862546,-1322336,0,1637861,0
241,30436565,1704648,526485,-6791959,-7309047,0,-18566692,0
242,8512003,0,0,-2651855,-1956319,0,-3903829,0
243,29362397,0,0,-770511,-16300598,0,-12291287,0
