Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
133,1313505,681611,960578,-4280287,-71369,0,1395963,0
134,30908691,0,0,-1680549,-3728906,0,-25499236,0
135,24642115,0,0,-773367,-10509594,0,-13359155,0
136,18780782,0,0,-992284,-13175720,0,-4612779,0
137,12265877,0,0,-1417372,-8760285,0,-2088221,0
138,2518332,3924,32318,-14275495,-174073,0,11894995,0
139,8206100,2786965,3790161,-15632751,-732905,0,1582431,0
140,1522817,7528920,8917064,-20910567,-105327,0,3047093,0
141,585936,9569255,11136326,-22521045,-1473251,0,2702780,0
142,901875,5284745,14331354,-22429766,-1714952,0,3626744,0
143,0,1779993,7085473,-17695768,0,0,8830303,0
144,687834,0,0,-9760553,-43912,0,9116631,0
145,0,1360974,662112,-4899692,-40,0,2876646,0
146,21522996,0,0,-2370286,-2165046,0,-16987664,0
147,72561527,0,0,-765887,-43125594,0,-28670046,0
148,17614457,0,0,-1003649,-15951647,0,-659162,0
149,25944796,0,0,-3343496,-22538530,0,-62770,0
150,18665194,0,0,-14352732,-6601637,0,2289174,0
151,17230283,51,333,-12977750,-3126777,0,-1126141,0
152,1577937,4856204,5773231,-24552441,-59290,0,12404358,0
153,0,11866546,13866106,-29290855,-1492054,0,5050257,0
154,7023777,10049295,13363089,-28456133,-3629985,0,1649958,0
155,14685089,3912378,4894643,-23938365,-3454040,0,3900294,0
156,419339,0,0,-12637290,-31618,0,12249569,0
157,0,1731387,674059,-7161834,-46,0,4756435,0
158,11148719,0,0,-3250428,-861655,0,-7036636,0
159,20201948,0,0,-761886,-2991646,0,-16448416,0
160,16317429,0,0,-1260928,-5465266,0,-9591235,0
161,51095885,0,0,-2017532,-41309423,0,-7768929,0
162,6989847,0,344,-10857637,-2114223,0,5981670,0
163,3278967,2337614,2602221,-18351517,-178972,0,10311686,0
164,5193901,7120272,8375167,-22206913,-302293,0,1819867,0
165,866227,10752121,12456225,-25598812,-1413379,0,2937618,0
166,794738,6808980,16727076,-26039761,-2111643,0,3820611,0
167,1046969,1726341,7109139,-18631784,-57427,0,8806763,0
168,0,0,0,-8841771,0,0,8841771,0
169,15772076,1642976,508976,-9297449,-1353840,0,-7272739,0
170,5996809,0,0,-3312261,-454861,0,-2229687,0
171,27706885,0,0,-1195084,-5787124,0,-20724678,0
172,9753292,0,0,-972391,-4661317,0,-4119585,0
173,71742025,0,0,-1465220,-61786276,0,-8490529,0
174,4920519,0,585,-13079816,-538363,0,8697076,0
175,5797288,1770976,1894021,-14835855,-462173,0,5835743,0
176,14136028,5621615,6607095,-21088346,-1396765,0,-3879626,0
177,1678262,7992740,9259310,-21442184,-1734713,0,4246585,0
178,1780889,8761564,12971528,-25971148,-2684654,0,5141821,0
179,0,2846691,7048027,-21137968,0,0,11243250,0
180,0,0,0,-8889943,0,0,8889943,0
181,1364229,1290104,560955,-5926401,-81022,0,2792134,0
182,25522480,0,0,-2664747,-2986306,0,-19871426,0
183,64441128,0,0,-748122,-40868814,0,-22824192,0
184,33588155,0,0,-790321,-32515161,0,-282673,0
185,10428971,0,0,-1298470,-9425917,0,295417,0
186,11863470,0,0,-7276437,-4291164,0,-295869,0
187,6441019,2442,12119,-14274484,-570973,0,8389878,0
188,3469312,4703382,5371521,-23045010,-163420,0,9664215,0
189,1106884,10231969,11749224,-26049380,-267937,0,3229240,0
190,0,9594334,14287653,-25538622,-2128601,0,3785235,0
191,2919419,3456580,5129564,-18844316,-182029,0,7520782,0
192,0,0,0,-9677073,0,0,9677073,0
193,489010,1379537,519756,-5130055,-27458,0,2769210,0
194,19743731,0,0,-2602891,-1766725,0,-15374115,0
195,27559644,0,0,-732282,-7432471,0,-19394890,0
196,8608706,0,0,-695046,-4884138,0,-3029521,0
197,19840463,0,0,-1134120,-13599905,0,-5106437,0
198,1317238,200,3027,-11900991,-83417,0,10663943,0
199,841260,3079045,3793227,-15516208,-32891,0,7835567,0
200,2972570,8435164,9821096,-23662308,-189823,0,2623300,0
201,270306,8225295,11896395,-21912423,-769388,0,2289815,0
202,1390857,3351054,14873835,-20876673,-1274240,0,2535166,0
203,254192,1517218,6477227,-15648552,-10126,0,7410042,0
204,277148,0,0,-7568711,-11040,0,7302604,0
205,16379621,1039956,321547,-9191567,-1527143,0,-7022413,0
206,4312158,0,0,-3289704,-332903,0,-689550,0
207,15218881,0,0,-734027,-2279693,0,-12205161,0
208,28590677,0,0,-763120,-11657404,0,-16170154,0
209,31484755,0,0,-1458208,-24237368,0,-5789180,0
210,2675321,0,538,-9596566,-205922,0,7126629,0
211,1972196,2098622,2285837,-14785782,-140000,0,8569126,0
212,5722405,7129875,8331712,-22378353,-408775,0,1603137,0
213,775659,9845404,11215568,-23731639,-1469532,0,3364540,0
214,0,7102426,13542770,-22138330,-1856140,0,3349274,0
215,0,2082766,6142985,-17152330,0,0,8926579,0
216,0,0,0,-8530178,0,0,8530178,0
217,2609839,1459994,483271,-5778691,-182967,0,1408554,0
218,10487240,0,0,-3332686,-838229,0,-6316324,0
219,7545058,0,0,-734114,-718709,0,-6092235,0
220,5740828,0,0,-945724,-852817,0,-3942287,0
