               Stress_Period  Alfalfa_Irrigated             Grain_Irrigated               Pasture_Irrigated             Native_Vegetation             Urban_Barren                  Water                         
 162                0.00                0.00                0.00         13230727.31                0.00                0.00
 163                0.00                0.00                0.00         21209150.03                0.00                0.00
 164                0.00                0.00                0.00         17505837.84                0.00                0.00
 165                0.00                0.00                0.00          3400627.96                0.00                0.00
 166                0.00                0.00                0.00           764953.09                0.00                0.00
 167                0.00                0.00                0.00          1007731.51                0.00                0.00
 168                0.00                0.00                0.00                0.00                0.00                0.00
 169                0.00                0.00                0.00          7631724.14                0.00                0.00
 170                0.00                0.00                0.00          7155692.41                0.00                0.00
 171                0.00                0.00                0.00          7410770.81                0.00                0.00
 172                0.00                0.00                0.00          5955788.55                0.00                0.00
 173                0.00                0.00                0.00          8311893.45                0.00                0.00
 174                0.00                0.00                0.00         16151330.24                0.00                0.00
 175                0.00                0.00                0.00         17649539.60                0.00                0.00
 176                0.00                0.00                0.00         21253052.72                0.00                0.00
 177                0.00                0.00                0.00         11207188.14                0.00                0.00
 178                0.00                0.00                0.00          1449267.75                0.00                0.00
 179                0.00                0.00                0.00           308820.82                0.00                0.00
 180                0.00                0.00                0.00                0.00                0.00                0.00
 181                0.00                0.00                0.00          1299542.89                0.00                0.00
 182                0.00                0.00                0.00          5720260.62                0.00                0.00
 183                0.00                0.00                0.00          4501381.78                0.00                0.00
 184                0.00                0.00                0.00          4571294.77                0.00                0.00
 185                0.00                0.00                0.00          8026233.79                0.00                0.00
 186                0.00                0.00                0.00          8946846.78                0.00                0.00
 187                0.00                0.00                0.00         17145298.04                0.00                0.00
 188                0.00                0.00                0.00         23446591.22                0.00                0.00
 189                0.00                0.00                0.00         11080923.43                0.00                0.00
 190                0.00                0.00                0.00                0.00                0.00                0.00
 191                0.00                0.00                0.00          2787402.59                0.00                0.00
 192                0.00                0.00                0.00                0.00                0.00                0.00
 193                0.00                0.00                0.00           470683.30                0.00                0.00
 194                0.00                0.00                0.00          5654064.18                0.00                0.00
 195                0.00                0.00                0.00          4473018.44                0.00                0.00
 196                0.00                0.00                0.00          4410683.98                0.00                0.00
 197                0.00                0.00                0.00          6782370.61                0.00                0.00
 198                0.00                0.00                0.00         14583552.90                0.00                0.00
 199                0.00                0.00                0.00         16795061.86                0.00                0.00
 200                0.00                0.00                0.00         11186876.73                0.00                0.00
 201                0.00                0.00                0.00           260175.20                0.00                0.00
 202                0.00                0.00                0.00          1338725.95                0.00                0.00
 203                0.00                0.00                0.00           244665.34                0.00                0.00
 204                0.00                0.00                0.00           266760.94                0.00                0.00
 205                0.00                0.00                0.00         10248231.42                0.00                0.00
 206                0.00                0.00                0.00          7121621.94                0.00                0.00
 207                0.00                0.00                0.00          4468171.43                0.00                0.00
 208                0.00                0.00                0.00          4517839.84                0.00                0.00
 209                0.00                0.00                0.00          8492786.32                0.00                0.00
 210                0.00                0.00                0.00         11763583.86                0.00                0.00
 211                0.00                0.00                0.00         17241014.59                0.00                0.00
 212                0.00                0.00                0.00         18334913.35                0.00                0.00
 213                0.00                0.00                0.00          2796938.12                0.00                0.00
 214                0.00                0.00                0.00                0.00                0.00                0.00
 215                0.00                0.00                0.00                0.00                0.00                0.00
 216                0.00                0.00                0.00                0.00                0.00                0.00
 217                0.00                0.00                0.00          1480039.55                0.00                0.00
 218                0.00                0.00                0.00          7185887.86                0.00                0.00
 219                0.00                0.00                0.00          4460024.32                0.00                0.00
 220                0.00                0.00                0.00          5907240.90                0.00                0.00
 221                0.00                0.00                0.00          6772341.13                0.00                0.00
 222                0.00                0.00                0.00         11798615.88                0.00                0.00
 223                0.00                0.00                0.00         15278272.80                0.00                0.00
 224                0.00                0.00                0.00         12811283.18                0.00                0.00
 225                0.00                0.00                0.00         10204830.83                0.00                0.00
 226                0.00                0.00                0.00                0.00                0.00                0.00
 227                0.00                0.00                0.00           998867.11                0.00                0.00
 228                0.00                0.00                0.00           195190.89                0.00                0.00
 229                0.00                0.00                0.00          7919175.18                0.00                0.00
 230                0.00                0.00                0.00          6470752.78                0.00                0.00
 231                0.00                0.00                0.00          4465553.68                0.00                0.00
 232                0.00                0.00                0.00          4528684.32                0.00                0.00
 233                0.00                0.00                0.00          8120883.12                0.00                0.00
 234                0.00                0.00                0.00         13331476.81                0.00                0.00
 235                0.00                0.00                0.00         17181832.57                0.00                0.00
 236                0.00                0.00                0.00         22016706.75                0.00                0.00
 237                0.00                0.00                0.00          5346317.66                0.00                0.00
 238                0.00                0.00                0.00          1372914.14                0.00                0.00
 239                0.00                0.00                0.00                0.00                0.00                0.00
 240                0.00                0.00                0.00          4105119.94                0.00                0.00
 241                0.00                0.00                0.00          4533734.49                0.00                0.00
 242                0.00                0.00                0.00          5748330.76                0.00                0.00
 243                0.00                0.00                0.00          4530217.74                0.00                0.00
 244                0.00                0.00                0.00          5891920.28                0.00                0.00
 245                0.00                0.00                0.00          6686089.31                0.00                0.00
 246                0.00                0.00                0.00         10543406.92                0.00                0.00
 247                0.00                0.00                0.00         15602962.11                0.00                0.00
 248                0.00                0.00                0.00         20238989.21                0.00                0.00
 249                0.00                0.00                0.00         20118034.22                0.00                0.00
 250                0.00                0.00                0.00          5549379.65                0.00                0.00
 251                0.00                0.00                0.00           917553.32                0.00                0.00
 252                0.00                0.00                0.00           264741.89                0.00                0.00
 253                0.00                0.00                0.00          6042299.12                0.00                0.00
 254                0.00                0.00                0.00          3560074.10                0.00                0.00
 255                0.00                0.00                0.00          2200494.50                0.00                0.00
 256                0.00                0.00                0.00          5507303.27                0.00                0.00
 257                0.00                0.00                0.00          9417349.16                0.00                0.00
 258                0.00                0.00                0.00         11254766.33                0.00                0.00
 259                0.00                0.00                0.00         18137953.56                0.00                0.00
 260                0.00                0.00                0.00         18682755.33                0.00                0.00
 261                0.00                0.00                0.00          3064294.18                0.00                0.00
 262                0.00                0.00                0.00           455498.86                0.00                0.00
 263                0.00                0.00                0.00                0.00                0.00                0.00
 264                0.00                0.00                0.00                0.00                0.00                0.00
 265                0.00                0.00                0.00          2799650.96                0.00                0.00
 266                0.00                0.00                0.00          4513345.80                0.00                0.00
 267                0.00                0.00                0.00          7139382.99                0.00                0.00
 268                0.00                0.00                0.00          6458973.29                0.00                0.00
 269                0.00                0.00                0.00          8581083.77                0.00                0.00
 270                0.00                0.00                0.00         14341177.63                0.00                0.00
 271                0.00                0.00                0.00         18280059.12                0.00                0.00
 272                0.00                0.00                0.00         19223651.86                0.00                0.00
 273                0.00                0.00                0.00          2734087.17                0.00                0.00
 274                0.00                0.00                0.00          7001560.38                0.00                0.00
 275                0.00                0.00                0.00          3517168.24                0.00                0.00
 276                0.00                0.00                0.00          4503627.34                0.00                0.00
 277                0.00                0.00                0.00          4671121.85                0.00                0.00
 278                0.00                0.00                0.00          2405544.00                0.00                0.00
 279                0.00                0.00                0.00          3109161.88                0.00                0.00
 280                0.00                0.00                0.00          6678130.78                0.00                0.00
 281                0.00                0.00                0.00          7523503.29                0.00                0.00
 282                0.00                0.00                0.00         14216004.80                0.00                0.00
 283                0.00                0.00                0.00         18423337.64                0.00                0.00
 284                0.00                0.00                0.00          3375999.78                0.00                0.00
 285                0.00                0.00                0.00          1688401.17                0.00                0.00
 286                0.00                0.00                0.00          1112588.05                0.00                0.00
 287                0.00                0.00                0.00          1473827.79                0.00                0.00
 288                0.00                0.00                0.00          4211774.94                0.00                0.00
 289                0.00                0.00                0.00         10659671.57                0.00                0.00
 290                0.00                0.00                0.00          5481418.52                0.00                0.00
 291                0.00                0.00                0.00          4127021.75                0.00                0.00
 292                0.00                0.00                0.00          7709377.66                0.00                0.00
 293                0.00                0.00                0.00         10435400.42                0.00                0.00
 294                0.00                0.00                0.00         14780656.91                0.00                0.00
 295                0.00                0.00                0.00         15709797.15                0.00                0.00
 296                0.00                0.00                0.00         17482655.34                0.00                0.00
 297                0.00                0.00                0.00          3450515.21                0.00                0.00
 298                0.00                0.00                0.00          3116293.11                0.00                0.00
 299                0.00                0.00                0.00          1537681.13                0.00                0.00
 300                0.00                0.00                0.00           302545.87                0.00                0.00
 301                0.00                0.00                0.00          2513892.06                0.00                0.00
 302                0.00                0.00                0.00          4233582.62                0.00                0.00
 303                0.00                0.00                0.00          2936552.64                0.00                0.00
 304                0.00                0.00                0.00          3745459.52                0.00                0.00
 305                0.00                0.00                0.00          6810495.57                0.00                0.00
 306                0.00                0.00                0.00         13221245.08                0.00                0.00
 307                0.00                0.00                0.00         23124607.12                0.00                0.00
 308                0.00                0.00                0.00         20231535.60                0.00                0.00
 309                0.00                0.00                0.00          7421067.99                0.00                0.00
 310                0.00                0.00                0.00                0.00                0.00                0.00
 311                0.00                0.00                0.00                0.00                0.00                0.00
 312                0.00                0.00                0.00                0.00                0.00                0.00
 313                0.00                0.00                0.00          5514170.07                0.00                0.00
