Date,PRCP_mm_cal,PRCP_mm_fj,PRCP_mm_et,PRCP_mm_gv,PRCP_mm_yr,PRCP_mm_y2,PRCP_mm_orig,mean_PRCP_fjcal,month_day1,water_year,fj_interp,cal_interp,gv_interp,interp_cal_fj_gv_mean,interp_cal_fj_mean,interp_cal_gv_mean,stitched
1936-01-13,NA,15,NA,NA,10.7,NA,NA,15,1936-01-01,1936,15,9.29739459594268,13.4353555445977,12.5775833801801,12.1486972979713,11.3663750702702,12.1486972979713
1936-01-14,NA,21.3,NA,NA,13.5,NA,NA,21.3,1936-01-01,1936,21.3,13.2023003262386,19.0782048733288,17.8601683998558,17.2511501631193,16.1402525997837,17.2511501631193
1936-01-15,NA,19.6,38.1,NA,21.3,NA,NA,19.6,1936-01-01,1936,19.6,12.1485956053651,17.5555312449411,16.4347089501021,15.8742978026826,14.8520634251531,15.8742978026826
1936-01-16,NA,13.5,NA,NA,1.5,NA,NA,13.5,1936-01-01,1936,13.5,8.36765513634841,12.091819990138,11.3198250421621,10.9338275681742,10.2297375632432,10.9338275681742
1936-01-17,NA,0,38.1,NA,0,NA,NA,0,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-18,NA,0.3,NA,NA,0,NA,NA,0.3,1936-01-01,1936,0.3,0.185947891918854,0.268707110891955,0.251551667603603,0.242973945959427,0.227327501405404,0.242973945959427
1936-01-19,NA,NA,NA,NA,0,NA,NA,NA,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-20,NA,NA,NA,NA,0,NA,NA,NA,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-21,NA,NA,NA,NA,0,NA,NA,NA,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-22,NA,NA,NA,NA,0,NA,NA,NA,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-23,NA,NA,NA,NA,0,NA,NA,NA,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-24,NA,NA,NA,NA,0,NA,NA,NA,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-25,NA,NA,NA,NA,0,NA,NA,NA,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-26,NA,NA,NA,NA,1,NA,NA,NA,1936-01-01,1936,0.96948436030936,0.707157821257326,0.948181730088468,0.874941303885051,0.838321090783343,0.827669775672897,0.838321090783343
1936-01-27,NA,1,NA,NA,0,NA,NA,1,1936-01-01,1936,1,0.619826306396179,0.89569036963985,0.838505558678676,0.809913153198089,0.757758338018014,0.809913153198089
1936-01-28,NA,0,NA,NA,0,NA,NA,0,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-29,NA,NA,NA,NA,0,NA,NA,NA,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-30,NA,NA,NA,NA,0,NA,NA,NA,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-31,NA,NA,NA,NA,0,NA,NA,NA,1936-01-01,1936,0,0,0,0,0,0,0
1936-02-01,NA,0,NA,NA,0,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-02,NA,0,NA,NA,0,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-03,NA,0,NA,NA,0,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-04,NA,0,NA,NA,0,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-05,NA,0,NA,NA,0,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-06,NA,0,NA,NA,0,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-07,NA,0,NA,NA,0,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-08,NA,0,NA,NA,0,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-09,NA,0,NA,NA,0,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-10,NA,0,NA,NA,1.5,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-11,NA,0.8,NA,NA,3.6,NA,NA,0.8,1936-02-01,1936,0.8,0.590425844159918,0.728296981346132,0.70624094183535,0.695212922079959,0.659361412753025,0.695212922079959
1936-02-12,NA,4.8,NA,NA,0.8,NA,NA,4.8,1936-02-01,1936,4.8,3.54255506495951,4.36978188807679,4.2374456510121,4.17127753247975,3.95616847651815,4.17127753247975
1936-02-13,NA,0,NA,NA,0.3,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-14,NA,2.5,NA,NA,2.3,NA,NA,2.5,1936-02-01,1936,2.5,1.84508076299974,2.27592806670666,2.20700294323547,2.17254038149987,2.0605044148532,2.17254038149987
1936-02-15,NA,0,NA,NA,3.6,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-16,NA,2.5,NA,NA,1,NA,NA,2.5,1936-02-01,1936,2.5,1.84508076299974,2.27592806670666,2.20700294323547,2.17254038149987,2.0605044148532,2.17254038149987
1936-02-17,NA,0.8,6.4,NA,0.5,NA,NA,0.8,1936-02-01,1936,0.8,0.590425844159918,3.77650924489759,1.7223116963525,0.695212922079959,2.18346754452875,0.695212922079959
1936-02-18,NA,0,12.7,NA,2.5,NA,NA,0,1936-02-01,1936,0,0,7.49401053284366,2.49800351094789,0,3.74700526642183,0
1936-02-19,NA,4.8,NA,NA,2.3,NA,NA,4.8,1936-02-01,1936,4.8,3.54255506495951,4.36978188807679,4.2374456510121,4.17127753247975,3.95616847651815,4.17127753247975
1936-02-20,NA,1.5,16,NA,13.5,NA,NA,1.5,1936-02-01,1936,1.5,1.10704845779985,9.44127311224398,4.01610719001461,1.30352422889992,5.27416078502191,1.30352422889992
1936-02-21,NA,31.5,19.1,NA,11.4,NA,NA,31.5,1936-02-01,1936,31.5,23.2480176137968,11.2705197777412,22.0061791305127,27.3740088068984,17.259268695769,27.3740088068984
1936-02-22,NA,8.9,NA,NA,3.8,NA,NA,8.9,1936-02-01,1936,8.9,6.56848751627908,8.10230391747572,7.85693047791827,7.73424375813954,7.3353957168774,7.73424375813954
1936-02-23,NA,0,6.4,NA,4.3,NA,NA,0,1936-02-01,1936,0,0,3.77650924489759,1.25883641496586,0,1.8882546224488,0
1936-02-24,NA,12.4,11.2,NA,4.1,NA,NA,12.4,1936-02-01,1936,12.4,9.15160058447873,6.60889117857078,9.38683058768317,10.7758002922394,7.88024588152475,10.7758002922394
1936-02-25,NA,0,NA,NA,0,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-26,NA,0,NA,NA,0,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-27,NA,0,NA,NA,1.5,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
1936-02-28,NA,0.3,NA,NA,0,NA,NA,0.3,1936-02-01,1936,0.3,0.221409691559969,0.2731113680048,0.264840353188256,0.260704845779985,0.247260529782384,0.260704845779985
1936-02-29,NA,0,NA,NA,0,NA,NA,0,1936-02-01,1936,0,0,0,0,0,0,0
