Source,Year,FA_Tim,FA_Mag,FA_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_BFL_Dur,Wet_Tim,Peak_2,Peak_5,Peak_10,Peak_Dur_2,Peak_Dur_5,Peak_Dur_10,Peak_Fre_2,Peak_Fre_5,Peak_Fre_10,SP_Tim,SP_Mag,SP_ROC,SP_Dur,DS_Mag_50,DS_Mag_90,DS_Dur_WS,DS_Tim,DS_7d_Low_Mag,DS_7d_Low_Tim,DS_No_Flow_Tim,DS_No_Flow_Dur,Overall_Int_Class,Int_Class,WYT,Avg,Std,CV
fj_reservoir_shackleford_update_2025-09-30,1999,55,1251.185482,54,765.4811868,1033.886019777765,90,150,2083.407976,3657.732877468569,6090.283066890497,2,,,2,,,240,1587.478552,0.061839611,63,67.2013707,226.9615445314786,155,303,11.634904643340585,332,,,Perennial,Perennial,wet,638.6662338157471,518.2049194457563,0.8113861231549883
fj_reservoir_shackleford_update_2025-09-30,2000,,,,589.8126482398626,927.0580288,105,92,2083.407976,3657.732877468569,6090.283066890497,,,,,,,197,1550.586987,0.048540488991230785,106,75.72399738,154.0371198076028,217,303,9.915478245958262,333,,,Perennial,Perennial,moderate,456.5560516236471,417.95360211540554,0.915448608
fj_reservoir_shackleford_update_2025-09-30,2001,,,,162.3614002739004,210.9221035602135,74,154,2083.407976,3657.732877468569,6090.283066890497,,,,,,,228,278.3557009,0.082531814,24,9.741195431479614,22.30465376851526,194,252,5.135222124765768,330,,,Perennial,Perennial,dry,104.2515693080199,99.18227843278585,0.951374441
fj_reservoir_shackleford_update_2025-09-30,2002,,,,378.7839319896101,565.131293,117,80,2083.407976,3657.732877468569,6090.283066890497,,,,,,,197,1301.988205,0.049923759954861494,87,24.61070114,204.73935271701885,168,284,6.739659984929806,331,,,Perennial,Perennial,moderate,287.9799435582234,311.4011550962459,1.0813293149815735
fj_reservoir_shackleford_update_2025-09-30,2003,41,43.72205073,40,815.6426258,1087.527670201285,156,86,2083.407976,3657.732877468569,6090.283066890497,8,,,5,,,242,1503.223643,0.051895039,63,71.25622199,106.1322323634544,125,305,35.38695257955004,330,,,Perennial,Perennial,wet,645.5536429450354,619.0346139745396,0.9589204874601664
fj_reservoir_shackleford_update_2025-09-30,2004,55,112.8386004,2,374.7432458030688,663.2656019,119,64,2083.407976,3657.732877468569,6090.283066890497,2,,,1,,,183,1045.750256,0.046375115,102,21.71405422448315,51.47233052833774,148,285,7.9032776708179995,331,,,Perennial,Perennial,moderate,422.36684843099897,428.58306104791865,1.014717568
fj_reservoir_shackleford_update_2025-09-30,2005,40,43.62311653,10,324.1840973780193,689.8350655828185,164,67,2083.407976,3657.732877468569,6090.283066890497,,,,,,,231,1481.850095,0.052730041,74,35.462617435377354,602.3480960377583,140,305,9.167847306527838,331,,,Perennial,Perennial,dry,407.06754377589925,373.7689621220581,0.9181988783852224
fj_reservoir_shackleford_update_2025-09-30,2006,36,103.0519212,35,1798.1646890082302,2455.2969630355446,46,79,2083.407976,3657.732877468569,6090.283066890497,43,7,2,3,2,1,125,3410.623892,0.040839274,35,196.6114704373295,1407.0446670543522,300,160,13.502609023304057,333,,,Perennial,Perennial,wet,898.8818892047378,1103.8726036604878,1.228050778325404
fj_reservoir_shackleford_update_2025-09-30,2007,75,3867.849913,14,392.37053841925047,603.9198970848845,82,94,2083.407976,3657.732877468569,6090.283066890497,3,1,,1,1,,176,988.387956,0.055293880610088386,94,20.62226839841545,53.051899575948156,158,270,7.640660747,330,,,Perennial,Perennial,moderate,360.49418409171744,443.85416426767097,1.2312380722201748
fj_reservoir_shackleford_update_2025-09-30,2008,19,80.70999916,18,221.4013638780752,528.0735368,179,62,2083.407976,3657.732877468569,6090.283066890497,1,,,1,,,241,1170.893336,0.067229386,52,25.54382540309625,118.7763426552529,140,293,9.811996112373205,332,,,Perennial,Perennial,dry,357.2421080663198,378.7731993122505,1.0602703062146681
fj_reservoir_shackleford_update_2025-09-30,2009,46,143.125832,9,141.9020202,397.7707751,169,67,2083.407976,3657.732877468569,6090.283066890497,,,,,,,236,809.11959,0.058846442,50,31.14198506,124.8404174163384,183,286,7.534193683278204,330,,,Perennial,Perennial,dry,246.1001093408407,253.1560520687888,1.028671026383722
fj_reservoir_shackleford_update_2025-09-30,2010,72,81.88297336,20,420.8245288164514,572.2098401,145,103,2083.407976,3657.732877468569,6090.283066890497,,,,,,,248,2069.323187,0.058115087,66,70.03507842067654,276.0403605749255,116,314,9.899907444,332,,,Perennial,Perennial,moderate,392.5945016304778,407.3029094,1.037464629955725
fj_reservoir_shackleford_update_2025-09-30,2011,39,333.9839648,12,533.9019692,966.9370345,201,64,2083.407976,3657.732877468569,6090.283066890497,,,,,,,265,1391.296709,0.048230022421365704,81,104.4701934,132.59416532576262,107,346,61.71681727159572,346,,,Perennial,Perennial,moderate,643.8888570488589,465.4046277985516,0.722802736
fj_reservoir_shackleford_update_2025-09-30,2012,,,,201.2788354135492,436.7084855,142,87,2083.407976,3657.732877468569,6090.283066890497,1,,,1,,,229,1348.151505,0.058585422,66,36.10466771,507.15369229728776,187,295,8.464917798408056,332,,,Perennial,Perennial,moderate,360.15525864644843,438.2999916264466,1.2169751269874143
fj_reservoir_shackleford_update_2025-09-30,2013,53,99.42454903,52,376.1314375595166,491.0058075,105,116,2083.407976,3657.732877468569,6090.283066890497,,,,,,,221,660.3619515,0.058060864,47,24.32967466543425,69.09365725475077,174,268,8.206105084035062,330,,,Perennial,Perennial,moderate,282.6259204355336,293.4761392897557,1.0383907422132466
fj_reservoir_shackleford_update_2025-09-30,2014,,,,83.87036672805395,113.23759481644399,104,76,2083.407976,3657.732877468569,6090.283066890497,,,,,,,180,601.2052251,0.041650225,68,23.75415555,636.2464443822794,242,248,6.872131033914666,330,,,Perennial,Perennial,dry,133.59349765268033,196.19666714918776,1.4686094053713954
fj_reservoir_shackleford_update_2025-09-30,2015,54,51.41396936,53,706.9907794638129,925.4382137069105,6,124,2083.407976,3657.732877468569,6090.283066890497,6,2,1,1,1,1,130,6198.100052,0.036154242,63,29.77406837702975,220.3090166550767,270,193,6.774041393889074,330,,,Perennial,Perennial,moderate,327.0333705937936,567.1265188,1.7341548900768105
fj_reservoir_shackleford_update_2025-09-30,2016,75,141.7009546,2,478.71781987732743,1288.521362,98,97,2083.407976,3657.732877468569,6090.283066890497,10,,,4,,,195,1865.058291,0.057121099,96,27.25547723,432.2720559867305,144,291,9.886755358372234,332,,,Perennial,Perennial,wet,531.9320523652569,646.5001096822415,1.2153809998994292
fj_reservoir_shackleford_update_2025-09-30,2017,31,675.8303887,30,833.4326589774812,1455.664167217145,148,69,2083.407976,3657.732877468569,6090.283066890497,33,3,1,7,1,1,217,2196.287589,0.052330805,90,78.18101124,257.1271048053478,167,307,15.864603941906683,331,,,Perennial,Perennial,wet,941.8805993002817,927.6522767552354,0.9848937088675397
fj_reservoir_shackleford_update_2025-09-30,2018,55,286.9362657,5,253.3295576470529,365.6532791900525,110,108,2083.407976,3657.732877468569,6090.283066890497,,,,,,,218,447.5491481,0.05819647,51,21.99014339,43.75218264,181,269,7.358489027210635,330,,,Perennial,Perennial,dry,213.71926914307605,213.15061463028798,0.9973392454734281
fj_reservoir_shackleford_update_2025-09-30,2019,,,,208.4388775597112,788.8785636,137,84,2083.407976,3657.732877468569,6090.283066890497,2,,,1,,,221,1472.71643,0.056670508,75,64.76721329,152.9032369777032,177,296,10.721018640733956,331,,,Perennial,Perennial,moderate,468.6638713757085,538.8951005582948,1.1498541566185392
fj_reservoir_shackleford_update_2025-09-30,2020,,,,164.8813727383596,235.3614490677325,124,107,2083.407976,3657.732877468569,6090.283066890497,,,,,,,231,373.2226878,0.061512646,40,21.473171615425052,37.22474017576865,184,271,7.056286685930881,331,,,Perennial,Perennial,dry,136.79713800945945,113.74345876445733,0.831475427
fj_reservoir_shackleford_update_2025-09-30,2021,,,,106.8003670567932,253.9637012,129,89,2083.407976,3657.732877468569,6090.283066890497,,,,,,,218,332.7464719,0.071182726,38,27.42823217,179.87823973003222,207,256,6.996930543773964,300,,,Perennial,Perennial,dry,113.08629105615482,116.30142509464989,1.0284308027831468
fj_reservoir_shackleford_update_2025-09-30,2022,25,44.2822092,24,227.6602992,262.7300358,141,97,2083.407976,3657.732877468569,6090.283066890497,,,,,,,238,294.1672135,0.037861003,53,50.77731622,64.63677382,151,291,17.046136288782186,329,,,Perennial,Perennial,moderate,158.5534591007787,107.00680988589356,0.6748941996773379
fj_reservoir_shackleford_update_2025-09-30,2023,,,,346.7704615,615.3965506805515,166,76,2083.407976,3657.732877468569,6090.283066890497,,,,,,,242,1635.73727,0.064541929,56,55.79442678702435,101.09629998179929,146,298,10.060582696564383,331,,,Perennial,Perennial,wet,428.95150948143214,485.7330267314498,1.132372811366632
