"Date","alf_curtail_07.15_update_2025-09-30","alf_curtail_07.31_update_2025-09-30","alf_curtail_08.15_update_2025-09-30","basecase_0_curtail_update_2025-09-30","basecase_0_mar_0_curt_update_2025-09-30","basecase_0_mar_update_2025-09-30","basecase_update_2025-09-30","curtail_all_07.15","curtail_all_07.31","curtail_all_08.15","eflows25_div_lims_update_2025-09-30","grain_12k","grain_12k_update_2025-09-30","grain_14k","grain_14k_update_2025-09-30","grain_6k","grain_6k_update_2025-09-30","irr_eff_0.1","irr_eff_0.1_update_2025-09-30","irr_eff_0.2_update_2025-09-30","irr_eff_minus_0.1_update_2025-09-30","maxMAR_fields2024_update_2025-09-30","natveg_high_12k_update_2025-09-30","natveg_high_4k_update_2025-09-30","natveg_high_8k_update_2025-09-30","natveg_high_all_update_2025-09-30","natveg_low_12k_update_2025-09-30","natveg_low_4k_update_2025-09-30","natveg_low_8k_update_2025-09-30","natveg_low_all_update_2025-09-30","reservoir_etna_update_2025-09-30","reservoir_french_update_2025-09-30","reservoir_shackleford_update_2025-09-30"
2019-01-17,415.677824870517,415.171934094465,412.888088816721,410.267282760293,410.267282760293,410.267282760293,410.267282760293,412.580066445523,412.584153791213,408.945803025259,417.570143304616,437.76698543607,410.267282760293,442.540923455076,410.267282760293,422.997525279083,410.267282760293,409.295638942866,429.941312504539,409.501232431073,413.817224238972,409.141668630724,405.115069072369,404.375006087046,404.539521751068,409.056120485432,438.041982054093,426.639963390726,432.550306131923,475.878622853337,426.408210890103,410.176788926716,383.210476688793
2019-01-18,511.065927923237,510.403450933801,508.188640924761,505.80322510662,505.80322510662,505.80322510662,505.80322510662,508.080121896692,507.639342537482,504.161093102206,512.831456894032,533.647899758633,505.80322510662,538.403199481293,505.80322510662,518.355913328636,505.80322510662,504.680676486319,525.331581850475,504.834851165745,509.760266216023,495.778519320412,500.139553677815,499.713570510003,499.763640494705,503.979369712828,533.815031323897,521.923553014153,527.80487560095,574.757400872231,521.075224416193,505.81430181344,477.072986137412
2019-01-19,1140.96885675544,1139.62195373021,1137.11346793335,1135.01992947093,1135.01992947093,1135.01992947093,1135.01992947093,1137.31669076105,1136.19553183829,1131.84602379573,1142.80885716471,1165.44715262371,1135.01992947093,1172.88653051408,1135.01992947093,1147.95793177114,1135.01992947093,1133.5749710226,1164.29930333359,1133.59704268933,1139.38962900119,1105.65962616361,1127.93337126052,1128.26689866882,1128.09874526714,1136.69451500012,1166.81408364282,1152.7807544446,1158.90098238698,1217.9617787834,1117.47058376326,1123.61222939705,757.747131691306
2019-01-20,1834.7277333272,1825.96793841168,1811.30438138152,1806.14676422259,1806.14676422259,1806.14676422259,1806.14676422259,1834.01776138085,1826.4712950334,1808.25236035479,1816.22431938857,1864.55145988885,1806.14676422259,1870.54350867039,1806.14676422259,1832.03069827365,1806.14676422259,1805.51833482275,1862.07187162602,1806.00575079629,1811.28210534751,1753.31598187378,1811.57945974645,1798.43292106914,1799.64277539338,1833.04333816835,1867.95560574677,1825.84920101938,1840.30001170638,1915.5529506741,1685.15303448684,1755.19166481092,1309.23560053802
2019-01-21,1488.60966535972,1483.38636455556,1475.386693318,1465.77006812549,1465.77006812549,1465.77006812549,1465.77006812549,1487.10437768901,1482.29463452176,1471.61039463501,1473.17658375651,1514.58556468881,1465.77006812549,1520.46848134043,1465.77006812549,1490.16469602748,1465.77006812549,1466.49925059658,1508.9573714206,1469.10750850174,1472.51758101091,1425.13911344527,1471.08672390521,1453.90789608434,1457.48800217421,1484.01597928565,1516.89818488021,1486.97186594174,1498.91786944299,1560.55941590808,1360.84414390515,1422.79645126305,1210.71757164973
2019-01-22,1129.43416285097,1125.74390279476,1120.20636685395,1113.89407453759,1113.89407453759,1113.89407453759,1113.89407453759,1127.44015125611,1124.15249475036,1116.3687579856,1120.17285061929,1153.11632552575,1113.89407453759,1158.2918452588,1113.89407453759,1132.61910435954,1113.89407453759,1113.40694467826,1145.98456127201,1115.50726813452,1119.61513229989,1088.95881342118,1113.92084665186,1104.22750198074,1106.47219048678,1123.3631465507,1154.93094351828,1131.86686925875,1141.32948326567,1194.6517689337,1051.0754542607,1082.91260730925,958.487264752544
2019-01-23,927.429159792509,924.411349849212,919.799107225702,914.795582999289,914.795582999289,914.795582999289,914.795582999289,924.150904181845,922.58921114061,915.972942925293,920.780969407354,950.288989387912,914.795582999289,955.010445888259,914.795582999289,931.439050281684,914.795582999289,913.540767872459,941.969605970486,915.627889202143,921.064549451326,897.749593913342,913.537211881708,907.306339491501,907.94490550865,920.25942409731,951.820803932153,932.155357613856,940.079290335775,989.58898169109,871.16459832953,894.502606497206,800.545524044012
2019-01-24,804.877293006274,802.30390015985,798.492409430468,795.15868853879,795.15868853879,795.15868853879,795.15868853879,801.261259147788,800.33617019777,794.556622518653,801.711112414429,827.193546498364,795.15868853879,831.576202914466,795.15868853879,809.43815769446,795.15868853879,793.710705454651,817.956676593903,794.121728937237,801.377993740694,783.714774582101,791.778780640816,788.920458926342,789.240906828438,796.828655367354,828.540694764331,810.53409769432,817.976295853215,866.120486760415,762.458982929282,782.978561876418,701.648434716427
2019-01-25,715.273683320956,713.063941620571,708.448756108165,708.456930799545,708.456930799545,708.456930799545,708.456930799545,712.461385118952,710.950089050074,706.605404075431,713.852063616517,737.179403811942,708.456930799545,741.273289255046,708.456930799545,720.50438222082,708.456930799545,706.885101140998,725.148424393798,707.123679508923,713.835550739929,701.069870934008,703.050271667726,701.489682209827,701.617983991037,706.532812815977,738.400048728804,723.283859036933,729.331495719857,774.052943346251,683.238007892245,701.540487916754,632.978125108987
2019-01-26,650.132469729176,648.914808574668,646.44114696308,644.841073745816,644.841073745816,644.841073745816,644.841073745816,647.26679079246,646.285786953403,642.725259249387,649.92238016071,671.734623055765,644.841073745816,675.586537634022,644.841073745816,656.424529684362,644.841073745816,643.161092920312,660.95003883233,643.31776088061,650.271357735722,640.445583064247,639.072439279691,637.881386745625,637.856494810373,640.780500170085,672.846258463075,659.268831803119,665.120725500949,707.566993022461,624.951109528767,641.24559923615,581.358218920839
2019-01-27,604.095755133197,603.123906948486,600.865771075132,599.388399975481,599.388399975481,599.388399975481,599.388399975481,599.560395482116,600.443139530786,597.069035663691,604.195731608775,624.984584889968,599.388399975481,628.636464770155,599.388399975481,610.658642613802,599.388399975481,597.614124084909,613.734656359726,597.711934267271,604.942080931768,597.172159395449,593.359156348162,592.429489570972,592.261131802,593.712384762692,624.808869898755,613.462153022573,619.218729818913,660.051967237323,583.171855950406,598.21046782108,543.178322830549
2019-01-28,573.180339411201,572.29616479154,570.123495316564,568.822247942695,568.822247942695,568.822247942695,568.822247942695,569.625820105349,569.575545753362,566.324021383511,573.374937939502,593.706580731812,568.822247942695,596.961661092414,568.822247942695,579.827344466107,568.822247942695,566.956946863607,581.756816872528,566.996921104455,574.496464723381,568.091267039496,562.557000975236,561.833295547364,561.555274293531,561.91483809388,592.636145769058,582.563740658648,588.257290584447,627.928291255906,555.047075498257,569.274104008725,516.396031070281
2019-01-29,555.457935487016,554.60139132422,552.498002358689,551.345125633368,551.345125633368,551.345125633368,551.345125633368,550.202549019185,551.846397708789,548.6900267466,555.699579364209,575.917226085225,551.345125633368,577.396232123152,551.345125633368,562.166945576039,551.345125633368,549.39648357566,563.314059143938,549.387327921314,557.163707463824,551.46586582505,544.846205112811,544.305122290368,543.921320530077,543.560326158737,576.324325715949,564.848489589421,570.497446573742,609.518109672465,536.96277798668,552.927337149967,499.803819102838
2019-01-30,542.438349766832,541.595825199752,539.538541493604,538.527822651381,538.527822651381,538.527822651381,538.527822651381,538.814958686104,538.822356781802,535.736901267335,542.723278634881,562.86494159952,538.527822651381,565.432980023091,538.527822651381,549.204173960945,538.527822651381,536.499272985434,549.738349169172,536.447159327887,544.47875273528,539.15424925183,531.8406798618,531.443839468757,528.913935980475,528.068550271413,561.800188047275,551.818317643899,557.443690643589,595.959893537252,526.451759810276,541.101583358917,467.420187935537
2019-01-31,524.697062305559,523.881963828059,524.476795246325,523.599119506311,523.599119506311,523.599119506311,523.599119506311,521.155459012088,521.088508289686,518.070902713672,527.64191312829,545.130929613576,523.599119506311,547.766613608316,523.599119506311,531.539115496791,523.599119506311,521.497569846341,534.037505549804,521.407975228816,529.676266825117,524.676993438221,514.095100687553,516.487955474849,513.124519580005,511.959666931812,545.442794089723,536.67139111244,539.672197697667,580.2203427542,512.399301834228,527.219281583944,517.273665936838
